Id,Source,Topic,PashtoText,EnglishtTranslation,AnnotatorOne,AnnotatorTwo
128,,,دا وطن دې جوړ شي,This country must be built,Positive,Positive
129,,,کاش چې ستاسې غوندې د خایسته نظرخاوند په قدر پوهه شې دابې غیرته حکومت,"I wish you knew the value of a good thinker like you, this dishonorable government",Negative,Negative
130,,,ښه نومونږته دي مبارک وي خوچي لیږ داکار یې زروای ډیروخت یې کې ورکړی,"Well, congratulations to our, but they have given so much duration .",Positive,Positive
131,,,ابادي ده لادي تکړه شي چې هرولایت کې جوړکړي,"The population should be able to build in each province, Move toward development ",Positive,Positive
132,,,باید دست جنرال هاشم خان لوګری په نوم ونومول شې,He should be named  General Hashim Khan Logari,Positive,Positive
133,,,"دادشهید داود خان دوخت پروژه ول ، چی اوس پر بحثونه کیږی. ","Shaheed Daud Khan was a project of the time, which is now being discussed.",Negative,Positive
134,,,خو ډیر وخت نیسې,So much time given,Positive,Positive
135,,,داد نه کیدو کار دی چه ۳۵ کال کی خدای خبر سه کیږی,"It is a matter of not working, God knows, what will happen  in 35 years",Negative,Negative
136,,,داغا‌خوا‌14کلو‌اکی‌خویو‌نو‌دولت‌جوری‌کی,"in 14 years, a new state has been built in this duration",Negative,Negative
137,,,ډير پر ځاي اقدام دى لوګر يې مناسب ځاي دى !,"It is very good step, Logar is best place for it",Positive,Positive
138,,,ضرورت بهيې نه وي کابل کې خوست کې کندهار کې بس دي,"no need to it, already in Kabul, Khust and Kanadahar",Negative,Positive
139,,,خدای دی ددوی کور وران کری دکابل او دلوگرنیم ساعت دموترمزل دی,"God destroys their house, Kabul, and logar half an hour of traffic",Negative,Negative
140,,,هسی ګف ولی دحوست هوای ډاګر څحه یی هم همداسی وی نن یی اوګوره په ټوله نړی کی دهعی په شان حراب اوبیکاره هوایی میدان نشته,"ridiculous ,There is no airport in the world that is as ugly and useless as Khust airport.",Negative,Negative
141,,,هوايي ډګر دد رولاغني سروخورى دکابل کندهار سرک جوړ کړه,"fuck airport, 
  Build Kabul-Kandahar road",Negative,Negative
142,,,دير يو نيك اقدام ده لخيره.,"It is very good step, ",Positive,Positive
143,,,ده دی پر ځایی په 1 ملیارد ده کابل پر سیند بند کړی,"Instead, this is 1 mile away distance, instead building a dam on the Kabul River",Negative,Negative
144,,,نه دومره تکلیف ته ضروت سه ده,There is no need to worry so much,Negative,Negative
145,,,میدان خوبه جوڑشی  طیاری لہ کومہ کی بیا خرہ پکی کینہ وی,"the airport will be buitl but what about of airplanes , will the donky in it",Negative,Positive
146,,,ان‌شاءالله چی تر ۲۰۸۵ پوری به جوڔ شی😊,"Insha'Allah, it will be completed till 2085",Negative,Negative
147,,,بيا قيامت وي او حساب كتاب به هم ختم وي وخت ورته لنده كري,Then there will be resurrection and the reckoning will be over. Ruduce the duration ,Negative,Negative
148,,,پراخه او محدود فکرونه سره متفاوت دی!,Wide and limited thinking is different!,Positive,Positive
149,,,دکوم ضرورت پر بنسټ دا هوایی ډګر په لوګر کی جوړیږی?,Based on what need is this airport being built in Logar?,Negative,Negative
150,,,دابه هسی ګف یی,Ridiculous,Negative,Negative
151,,,یو هوایی ډګر په 15 کالونو کی جوړوی هه ای شرمیدلو,Shame on you for building an airport in 15 years,Negative,Negative
152,,,الحَمْدُ ِلله دا څو ورځي د خوښی خبرونه دي,Praise be to Allaah. This is good news for a few days,Positive,Positive
153,,,د فسادګرو او غلو غوا بیا لنګه شوه,The cow of the corrupt and the thief became birth again,Negative,Negative
154,,,داده بند جوړ ونی کارسم ده,dam is neccessory,Positive,Positive
155,,,داده مرحوم شهید داود خان په وخت کی دا نقشه منزوره شوی وا دا وخت یی ډیر زیات ده 15 کاله,This map was approved during the time of the late Shaheed Daud Khan. This time is very long 15 years,Negative,Positive
156,,,یاره خوسم مکمل ګفشفی یی ورکی که,"You are joking , get lost",Negative,Negative
157,,,دکابل اولوګر فرق څه دی سر وسل دی,What is the difference between Kabul and Logar? Very short .,Positive,Positive
158,,,موږ.به مړه وو.تر هغې بیا څه مانا,We would be dead,Negative,Negative
159,,,ډیر ښه کار وشو  د هیواد د ابادی په لور  د فکستان مدرسی کونیان به وسوځی انشاالله,"Very good work has been done towards the population of the country
   The fuckers of madrassas in Pakistan will burn down, God willing",Positive,Positive
160,,,والله ډیر زر یی جوړوی زه وایم 2100به خه  وو خلکوته به یی د جوړیدو نیټه خوم مغلومه وه,God will make it very soon. I would say 2100 would be good for completion date,Negative,Negative
161,,,ښه خبر  خو دومره وخت  تقریبا ۱۴؟,Good news but so long almost?,Positive,Positive
162,,,هسی د خلکو پام ځانته راجلبول دی دا شل کاله مخکی مو ولی جوړ نکړ حتی د کابل هوایی ډګر څومره کوچنۍ ده اوس پدی سره غوای چه خلک پرځان راټول کړی اوس د بچیه وخت تیر شوی,"by the way they want the  attention of people. Why didn't you build it 20 years ago, no matter how small Kabul Airport is?
  He now wants to rally the people
Now the baby's time is up",Negative,Negative
163,,,وخت یی سخت ډیر ورکړی دا,It took a lot of time,Negative,Negative
164,,,په افعانستان کی د طیار و سخه هوایی دگری دیری دی  🥴,there is much airports than aeroplanes in Afghnistan,Negative,Negative
165,,,داباندى بى ځايه پيسى مه مصرفوى اوبه پرى رابندې کړې,"Don't spend too much on it
  it must be spent on Dams ",Positive,Positive
166,,,ګمان مې نشي چې دا وړۍ دې شړۍ شي🥱☹,I don't think it's going to be easy,Negative,Negative
167,,,هر چاته خپل وطن کشمیر دی . اشرف غنی آخر هم خپل اصلی کلی او زی ته غت کار وکی,Everyone has their homeland Kashmir. Ashraf Ghani has finally worked hard for his hometown,Negative,Negative
168,,,ماشاء الله! ټولو قدرمندو لوګــریانو ته دي مبــارک وي...,"Mashaallah, Congratulation to every repectful person of Logar",Positive,Positive
169,,,2035 یعنی نه جوریگی او مکان یی هم نشته,"2035, means not possible, not expected",Negative,Negative
170,,,2035 کی به مونږ مړه یو,we would be dead in 2035,Negative,Negative
171,,,داپیسی باندی دی بندونه جوړ کړی چی زموږدهیواداوبه دنو روهیوادوڅخه راوګرزی اودبر یښنا کاردی ځنیواخلی چی دبل داحتاج نه خلاص شوولی به دنوروهیوادوڅخه بریښنا غواړ وه,He has built dams on this money to divert the water of our country from these new countries and to buy electricity from some of them which would not be able to meet the needs of others.,Negative,Negative
172,,,كه فنجابي فريدي جوڑي داته گمان نه كوم چي ترسوفجاب اداره ختمه شوي نوي فه دونياكي به دشهتگردي دوام ولري,I don't expect.terrorism will continou till the finis of Punjab rigme ,Negative,Negative
173,,,د یو ودان افغانستان په هیلا یو ,Toward the developed  Afghanistan,Positive,Positive
174,,,ګمان مې نشي چې دا وړۍ دې شړۍ شي,I don't expect that it will build.,Negative,Negative
175,,,دا سومره زر جوړیږې تر 2035 😀😂😂,"It take very less time , till 2035, hahah",Negative,Negative
176,,,ههههههههههه  دا خبره هاشم لوګري هم کوله.,Hahahahaha Hashim Logari was saying the same thing.,Negative,Negative
177,,,څومره پۀ تلوار یې جوړوئ 2035  لیږ ګذاره کوئ,how much in hurry make it in 2015. be slow,Negative,Positive
178,,,الله ج جوړ کړی ـ خو چی د ننګرهار د ګمبیری غوندی له پامه ونه غورځول شی.,"Allah created it, but it cannot be ignored like the Gambari of Nangarhar.",Positive,Positive
179,,,دافعلى ډګر موچيرته ستړى کړو سى پاته نوى ډګر سو,"We got tired of this active airport, you are going to became a new airports",Negative,Negative
180,,,ددې ډګړ د پروژه د شهېد سردار محمد داود خان په وخت کي دده په پنځه کلن پلان کي طرحه شوي وه,The project was planned during the reign of Shaheed Sardar Mohammad Daud Khan in his five-year plan.,Positive,Positive
181,,,ډيره عاجله پروژه ده,It is a very urgent project,Negative,Negative
182,,,امیر المو منین الحاج محمد اشرف غنی بابا دی زرکلن شی چی ددی ملت غم ورسره دی دی یو سوکاله او آرام افغانستان په هیله مبارک دوی ماشاءالله,Amir al-mu'minin Alhaj Mohammad Ashraf Ghani Baba is the millennium that the grief of this nation is with. Hope for a prosperous and peaceful Afghanistan.,Positive,Positive
183,,,برکت برکت وطنه ویاړ درباندی کوم,I am proud of my blessed homeland,Positive,Positive
184,,,امکان لری دا پروژه تر ۵۰۰۰۰ میلادی کاله پوری تکمیل شی,The project is expected to be completed in 50000 years,Negative,Negative
185,,,د هدفی وژونو مخه د ونیسي د سر سر ځوانان مو تباه شول ,"To prevent targeted killings, our young men were destroyed",Positive,Positive
186,,,لوگرکی داسی مولایان شته چی وایی مجاهیدینونوته پاخه وری له آسمانه رالیژی هغوی هوایی میدان سکوی,There are mullahs in Logar who say that the Mujahideen are ready to fly from the sky.,Negative,Negative
187,,,"په ډګرونو یي درټیل وهم څه پري وکو ماته د یو افغان وینه ،ژوند او بیا وروسته پرمختګ مهم دی","The blood of an Afghan is important to me, the life and the progress of the future. Fuck the airports",Negative,Negative
188,,,چہ دا افغانستان پہ ابادی بعضی خلک سخت اور اخلی او نہ ئی شی برداشت کولی چہ دا ولی؟؟,Why is it that some people in Afghanistan are feel jelousy and can't bear it to develop Afghanistan,Positive,Positive
189,,,د فسادګرو او غلو غوا بیا لنګه شوه,The cow of miscreants and thieves became lame again,Negative,Negative
190,,,په زړه پورى خبر ده.. افــــسوس حدايه که چيرته امن راشى نو لخيره همداعه هوايي ډاګر د 15کالو څخه د جوړوني چارى به 3 کالو ته راشى.. ❤🇦🇫❤,"This is very interesting news .. Alas, if there is peace, then the construction of this airport will take 3 years from 15 years ..",Positive,Positive
191,,,داهم دغنی ددولت تجارتي اعلان وه,It was also a commercial advertisement of the Ghani government,Negative,Negative
192,,,دلوگر دمیدان هوایی اود ددیکندی له میدان هوایی دبرق یوبند ضروری دی داحکومت دنوم پسی گرزی خدمت نه کوی  .,A power dam from Logar airport and Daikundi airport is necessary.,Negative,Negative
193,,,تاسې نران شي يواځې سرخاب کې يوه شپه ټينګ شئ,"You can be a man, just stay up all night in the red",Positive,Positive
194,,,د اوبو بندونه تر ټولو مهم دې افغانان د اوبو او د بريښنا بندونه غواړي وه 1000 کالنه,Dams The most important thing is that Afghans want water and power dams for 1000 years,Positive,Positive
195,,,چې ګل غني به تر ۲۰۳۵ پورې ژوندی وي یا نه په خلکو ملنډې وهل دي ددغه میدان هوایې په نامه به څومره پيسې لبنان ته کش کړي,Whether Gul Ghani will live up to 7 years or not is a mockery of the people. How much money will the airport in Lebanon draw?,Negative,Negative
196,,,هههه دا خبری منګ لس کاله مخکی اوریدی دا چی غنی پوه شو چی اوس می ورځی کمی پاتی نو ملت ته د درغو وعدی ورکوی د هیواد د ابادی حالانکی حس حقیقت نه لری,"Hmmm, I heard this news ten years ago when Ghani realized that now that the days are numbered, he is making false promises to the nation.",Negative,Negative
197,,,اول د هيرامنډي فاسد او حرام نطفه (طالب)له لوګره وکه کړي بيابه د هرڅه امکان وي چي جوړ سي,"First remove the corrupt and illegitimate sperm of Hiramandi (Talib) from Logar, then everything is possible.",Negative,Negative
198,,,دا هسي خوشي ډوزي دي چې ډوزبابا یې کوي  هغه د ننګرهار هوایئ ډګر څخه هم اریانا الوتني پیل کړي  لوګر کښې د هوايئ ډګر هیڅ اړتیا نشته  کابل له لوګر څخه په ۶۵ کیلومتري کښې قرار لري لوګر څه چې پکتیا هم د کابل له هوائې ډګر څخه فعلا استفاده کولی شي  باید دا مصرف د کنړد سیند په بند وشي چې هم له بریښنا برخمن شوه او هم له ګاونډي هېواد خپلي اوبه را وګرځوو فعلا مونږ بندونو ته اړتیالرو نه هوائې ډګرونو او دهلیزونو ته,"These are rediculas. He also started Ariana flights from Nangarhar airport. There is no need for an airport in Logar. The cost should be borne by the dam on the Kunar River, which has both electricity and water from the neighboring country. Currently, we do not need dams for airports and corridors.",Negative,Negative
199,,,زموږ داهیواد غم نادی ورعلی    چی یی   راته جوړ کړی    موږ هاوای ډاګر سه کوو هیوادوال مو له لوګی مری,"they are n't take care of our land . We are going to die from hunger , what will do on airport",Positive,Positive
200,,,لوكر جان به مني,Logar Jan is great,Positive,Positive
201,,,یو هوایی ډګر په 15 کالونو کی جوړوی هه ای شرمیدلو,"It took 15 years to build an airport, shame on you",Negative,Negative
202,,,خدای دی ددوی کور وران کری دکابل او دلوگرنیم ساعت دموترمزل دی,God destroy their house. Kabul and Logar are half an hour's drive away,Negative,Negative
203,,,دیرشه خبر اوده پیشرفت په لور,Very good news towad development,Positive,Positive
204,,,دغه پیسې دي په مجاهدینو مصرف سې,This money is spent on Mujahideen,Negative,Negative
205,,,2035 بيا خو مو ډير تلوار کړی☺,"doing it very quickly , 2035",Negative,Negative
206,,,د وطن د ابادۍ په هيله لوګر دي الله اباد کړئ سره له ټولو ولايتونو زنداباد افغانستان او مرګ په غلامانو وطن فروش,"With the hope of the development of the country, may Allah make it prosperous. Long live Afghanistan and death to the slaves of the country.",Positive,Positive
207,,,"2035 کال خو تاسو يادوي خو ولکه 2085 کي هم جوړ سو ،😜😜","You remember the year 2035, but it will not be  built in 2085",Negative,Negative
208,,,دخوشحالۍ خبر ده الله ج دي وکړي چی پخیر جوړ شي...,"Good news, may God bless you …",Positive,Positive
209,,,2035. کال پورې. هههههه تاسو ميدان جوړوی که بله دنيا جوړوئ څنګه چل دی,"Till 2035, do you make the airport or the world ?",Negative,Negative
210,,,غزنی ولایت کی هم باید یو نریوال هوایی دگر جورشی,An international airport should also be established in Ghazni province,Positive,Positive
211,,,آله حمد الله,Praise be to Allaah,Positive,Positive
212,,,ماشاءاللہ,Masha Allah,Positive,Positive
213,,,سريف 15کاله کى ولا تکړه ينجنران دى,very talented engineers to make it in 15 years.,Negative,Negative
214,,,ډيرزر جوړيزى,being built very quick ,Positive,Positive
215,,,حسته,Nice,Positive,Positive
216,,,ښه خبر,Goof news,Positive,Positive
217,,,هههههههههه,hahahahaha,Negative,Negative
218,,,ماشاءالله 🙏🏻🌹,Masha Allah,Positive,Positive
219,,,Aiman Niaziښه نږدی به کوزیږوو ههههههه,we will land very near to homes ,Positive,Positive
220,,,2035 م کال اوف,2035 uffff,Negative,Negative
221,,,کله به ي خداى دى اوکړى,When will God do it?,Positive,Positive
222,,,شه عالى خبر,Great news,Positive,Positive
223,,,"دافغانستان په ترفی باندی ،،خوشالیگو ،،،الله دی گلو گلزار کری،،","we are happy on development of Afghanistan, May Allah bless you Afghanistan",Positive,Positive
224,,,شه خبره ده,good news,Positive,Positive
225,,,ښه اقدام,Good step,Positive,Positive
226,,,ډيراغلی,Great,Positive,Positive
227,,,واقعا همداسی ده,"surre , It is like this",Positive,Positive
228,,,ماشاالله ماشاالله ماشاالله ,Mashaallah Mashaallah Mashaallah,Positive,Positive
229,,,الله دی وکی,God make it,Positive,Positive
230,,,ډیرشه,Very Good,Positive,Positive
231,,,ترلوگرخوهلمندولایت ډیرمستحق وه,Helmand was the most deserving province for this,Positive,Positive
232,,,داسې خبرونه دې له ډیر شي..❤,Such news should be more,Positive,Positive
233,,,ریشتیاده هغه اوبه ضرورت دی,He really needs water,Positive,Positive
234,,,واه بلکل,Wow,Positive,Positive
235,,,اشرف غنی خپلو جایدادو ته نژدی هوای دگر غواری,Ashraf Ghani wants an airport near his property,Negative,Negative
236,,,ده سى واىاچى ده نه جوړىګى,It means it will not build ,Negative,Negative
237,,,هغه به هم جوړه شى انشاالله,"that will also be made, God willing",Positive,Positive
238,,,ډیر ښه شویده,Very well done,Positive,Positive
239,,,ښه زيری,Good news,Positive,Positive
240,,,ماشاالله  الله دی یی زر جور یی,May Allah be pleased with him,Positive,Positive
241,,,خه خبر,Good news,Positive,Positive
242,,,زبردست,Great,Positive,Positive
243,,,ډير خه,Very good,Positive,Positive
244,,,نیک او پر ځای اقدام دی,Nice and rather actionable,Positive,Positive
245,,,برکتونه,Blessings,Positive,Positive
246,,,ده سى واىاچى ده نه جوړىګى,said this it will not make,Negative,Negative
247,,,الله ج دی زمونږه هیواد اباد کړی امین,May Allah bless our country. Amen,Positive,Positive
248,,,الله دي وكري,God makes it,Positive,Positive
249,,,عمل پکار ده😊😊😊,Action required,Positive,Positive
250,,,۲۰۳۵ کال پوری زه تول افغانستان جورم لیونی په داسی خبره دی,"Until the year 2035, I will build Afghanistan",Negative,Negative
251,,,کامیابی ای غواڔو,I wish you success,Positive,Positive
252,,,خوب وینی,Dreaming,Negative,Negative
253,,,"نېک اقدام،",Good step,Positive,Positive
254,,,زنده باد غنى بابا,Long live Ghani Baba!,Positive,Positive
255,,,الله د توفېق ورکړې چې دا ځېړنې زر تکمېلې کړې ,May Allah grant him success in completing this ,Positive,Positive
256,,,ماشاالله مبارك مبارك,"Masha Allah, Congratualion, congratulation ",Positive,Positive
257,,,الله پاک د اوکړی,May Allah make it,Positive,Positive
258,,,Sami Ahmad Zai   دا چی ترڅو جوړیږی تر هغی به ته بوډا یی,Sami Ahmad Zai You will be old until it is made,Negative,Negative
259,,,ماشاءالله د لوی افغانستان د پرمختګ په هيله,May Allah bless the development of Greater Afghanistan,Positive,Positive
260,,,لوگر جان  لوگر  جان,"Logar jan , Logar Jaan",Positive,Positive
261,,,دير زر يي نا جوراوى ٢٠٣٥ 😜,"make it vey soon, 2035 , hahah",Negative,Negative
262,,,خداي دي وکړې 🇦🇫 وطن ده ابادي په لور,God has done it; the homeland is towards prosperity,Positive,Positive
263,,,ډیربه ناوخته شی,it is very much time,Negative,Negative
264,,,لز يي كم كري ظاليمانو دومره دروغ ,"be slow, it is very big lie",Negative,Negative
265,,,اينشالله جوړيږي به,Inshallah will be made,Positive,Positive
266,,,مبارک شه دادجمهورریس لاسته راورنیدی,Congratulations to the President,Positive,Positive
267,,,موږ ته دې مبارک وي✈🌆,Congratulations to us,Positive,Positive
268,,,کور مو شاد سه ,Be happy,Positive,Positive
269,,,يعني ١٤ كاله بعد ,That is 15 years later,Negative,Negative
270,,,خوب کی که په ويخه ,In a dream or awake,Negative,Negative
271,,,لوګرهوایی جوړیدوته هرکلی وایو,Welcome to Logar Airport,Positive,Positive
272,,,الله ج دي وکړي ښه خبر ده,"May Allah do it, good news",Positive,Positive
273,,,تولو افغانانوته دی مبارک وی,Congratulation to every afghani,Positive,Positive
274,,,یاالله افغانستان دپرمختللو هیوادوسیال کری,May Allah make Afghanistan a developed country,Positive,Positive
275,,,موژ به نه وو ۲۰۳۵,we would not alive,Negative,Negative
276,,,پخیر پخیر,welcome,Positive,Positive
277,,,د اباد افغانستان پہ ہیلہ,Hope for a better Afghanistan,Positive,Positive
278,,,یاره خوشحاله سولو,We will be happy,Positive,Positive
279,,,ژوند‌ ژوند غني بابا,Life ‌ Life Ghani Baba,Positive,Positive
280,,,په خیر دجور شی,May it will complet with peace,Positive,Positive
281,,,خدای ج د وکړي چې یاد هوايي ډګر په معیاري ډول سره جوړ شي تر څو د هیواد د ښيرازۍ لپاره موثر تمام شي.,"God willing, the airport will be built in a standard way so that it will be effective for the prosperity of the country.",Positive,Positive
282,,,نه دومره تکلیف ته ضروت سه ده,There is no need for so much trouble,Negative,Negative
283,,,انشاءالله بخیر جور شود به امید صلح سرتاسری در کشور,"God willing, good luck will prevail in the hope of universal peace in the country",Positive,Positive
284,,,دا سې خبرونه دي ډېر شې.,Such news should be more,Positive,Positive
285,,,دا سومره فاسده اداره ده پخدای,This is a corrupt administration,Negative,Negative
286,,,۶۰فیصده غله دی راوینسی 👨‍🏫,"90 % are theives, caught him ",Negative,Negative
287,,,زما په فکر وطن اوس مخ پر جوړيدو دی,I think the homeland is being built now,Positive,Positive
288,,,تاسي هو ټول فسادیان یاست الله مو له منځه ورک کړه,"Yes, you are all corrupt. May Allah destroy you",Negative,Negative
289,,,باید پانسۍ شي د ژوند حق نلري,"Must be sentenced, has no right to life",Negative,Negative
290,,,افغانان ټول غله دى,Afghans are all thieves,Negative,Negative
291,,,صالح اوزرکلن چی صلحه نه غواړی اومخالفت یی کوی دلته داخبری دی دچپړاسی نه تر وزیره غله دی که صلحه وشی بیاورسره حساب کیږی,"Saleh Ozarklan who does not want peace and opposes it, here is the news from peon to minister all thieves, if peace is made, it will be reckoned with.",Negative,Negative
292,,,ټوکې کوې¡,You are joking ,Negative,Negative
293,,,قندز کی ډیر خلک د فکستان د مدرسی کونیانو سره لاس لری,Many people in Kunduz are associated with Pakistani madrassas,Negative,Negative
294,,,آللہ داسی مخلوق تباہ کڑی,Allah destroyed this type of creature,Negative,Negative
295,,,ولکه  تاجک اوزبک عدالت ته سوک بوزى بس صرف پشتون بياى,"Instead, Tajiks and Uzbeks go to court and only Pashtuns go to court",Negative,Negative
296,,,ستاسی په کوم شریفه سری زور رسی  هغه هزازه او اوزبک لند غر ونیسی که دونه نران یی,"You are forcing on gentle men of Tjik and Uzbak , if you are the braves the take the moutains ",Negative,Negative
297,,,غله څوک به سزا درکی چی قاضي په خپله غل دی,"The thief, who will punish, the judge himself is a thief",Negative,Negative
298,,,"لعنت په جمهوريت !!!
خلقودلوګى نه اخپل اولادونه خرڅ کړل ، زان وژنى وکړه ، مليونونه انسان دبى وزلى له امله نيشى توکوته مخه کړه ، دفقرله وجهى لکونه کورنى دهيواد بهروتختيدل اوتا سودميدان هوائ خبرى کوى په اخپل ذات کى داکار ډيرښه ده مونږ يوپرمخ تللى هوائ ډګرولرو خوتاسو ناولى سکولاران دذوغژن ياست نه هيواد ژمن ئ اونه اخپل دين
لعنت په دروغ ژنانوته","Curse the Republic!!!
The people sold their children, killed people, millions of people turned to drugs because of poverty, millions of poor families left the country, and the air is talking about profit fields. Neither the country nor the religion
Curse the liars",Negative,Negative
299,,,لز يي كم كري ظاليمانو دومره دروغ,"Slow down, how they are lying ",Negative,Negative
300,,,نی منم,don't agree,Negative,Negative
301,https://www.facebook.com/1008363605875198/posts/3941972965847566/,"meeting my crazy friends in Holland
نن زما خواږه دوستان وګوری
ویډیو خپلو دوستانو سره شیر کړی .",افرین همداسی ویدو جوره وه موژ به خندو ورور جانه تل کامیاب به اوسی ,"Afrin also made a video that will make you laugh, brother Jan will always be successful",Positive,Positive
302,,,سلام 🇦🇫🌹,Salam,Positive,Positive
303,,,دا کرونا خلاس شی لخیره بیا هالند ته درزو د ماما چپلی کباب ته 🇳🇱🇦🇫😊,The corona will be finished  then we cometo the Netherlands for Mama Chapli Kebab,Positive,Positive
304,,,مزې مو وکړې مسعود ګل حاجي,Enjoyed Masood Gul Haji,Positive,Positive
305,,,مسعود ګل حاجي مزي دي وکړي ټول کباب دي ځان ته وخواړل,Masood Gul Haji had fun eating all the kebabs,Positive,Positive
306,,,مسعود جانه ماشالله ډير شايسته هميشه د دوستانو سره خوشحاله اوسى❤️🌹🌹,Masood Jan Mashallah is very nice. Always be happy with your friends,Positive,Positive
307,,,ماتا ھم  ویزہ اوباسا 🙄🙄🙄,Send me visa also,Positive,Positive
308,,,وسدی خزو سره شورو وکړه داکارمکوه کنه ویډیو چوړه وه دیکی هیڅ پیغام نووو,"Now You are living with women , don’t do this , make videos, no message in this video",Negative,Negative
309,,,ڈيري وارنه يي يو متل به درته وکمه وايي خبري کوم تاسرہ زڑہ مې په کندوکي 😜😜😜😜😜😜😜😝,"There's a proverb that says, 'I don't know what I'm talking about.'",Positive,Positive
310,,,دیر زیات تکلیف مو گاللی الله مو تل کامیاب لره...,God bless you forever ...,Positive,Positive
311,,,ویډو ام ښه جوړکړی ده خو یو کار ښه ام نه ده کړی چی د سجاد خور الته موجود دي او تاسی ځان لوسوی دا خو ډير بد کار دي د بنده خپل نظر ,The video is well made but it has not done a good job. The sister of Sajjad is there and you are seducing  it. It is a very bad thing.,Negative,Negative
312,,,داڅنګه هالینډ دی سیټ بیلټ دموټروان ندی تړلی ,That is why in Holland did not fasten the seat belt,Positive,Positive
313,,,والکه مسوده شاته دی سه کینولی دی یارو ساعت دی تیر دی,who si sitting on the back seat? Your time is over,Negative,Negative
314,,,داجنۍ چرته بوزی تاسی هم کونیان شوی لکچی,where are you carrying this girl. Did you ducker?,Negative,Negative
315,,,ستا د چپلی کباب او د ملوک د خره لډوان یوشان مردار بوی لرې چه نت پوهیږم دا بعضی ولی داسی منډی ور وهی ,The smell of your chapali kebab like donkey. I don't know why some of them are running like this,Negative,Negative
316,,,ماشاءاللہ,Masha Allah,Positive,Positive
317,,,الله دی جوندی لره مصعود صاحب,may yo live long,Positive,Positive
318,,,رانشی دلته خفه به شی,don't come here otherwise you will be sad ,Positive,Positive
319,,,مزی کوه,you have enjoyed,Positive,Positive
320,,,املا ده غلته کری ده ,The spelling is wrong,Negative,Negative
321,,,تل کامیاب اوسی وروره موږ درباندی ویاړو,may you secceed,Positive,Positive
322,,,الله ج مو همداسې تل خوشحاله لره ګرانو وروڼو,"May Allah bless you, dear brothers",Positive,Positive
323,,,واواواواوا,wah wah wah!,Positive,Positive
324,,,مزی مو وکړی او دا جلکی څوک ده,You have enjoyed. Who is this girl?,Positive,Positive
325,,,ماشاءاللہ ژوند 🌹,Masha Allah,Positive,Positive
326,,,ښه ساعت دی تیر دی ته دی ژوندی وی,You have spent good time.,Positive,Positive
327,,,الک دلى نسوار شته. کنه,is there Naswar or not?,Positive,Positive
328,,,ډیر خه,very good,Positive,Positive
329,,,مسغود ګوروانه  ډير په زړه پورى ويډوکانى دى راسى  ته خوماته ډير قامقل خکارى   نوسوار خو خلکه چيف کى اچى,Masgud Gorwana is a very interesting video.,Positive,Positive
330,https://www.facebook.com/1008363605875198/posts/3973397276038468/,"نسوار دادا خپل نسواری ملګری منشن کړی . 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 Naswar DaDa
",په کوم ملک کي يی وروره ويډيوګانې خو ښه جوړوي,In what country do his brothers make good videos?,Positive,Positive
331,,,دابه هسي ګپ وي,Ridiculous ,Negative,Negative
332,,,واله دا جوړه خو ډیر ښکلی درسره ښکاری,Valle this clothe looks so pretty with you,Positive,Positive
333,,,افرىن مسود ګل حاجى,Good Masood gul haji,Positive,Positive
334,,,مسعود جانه ډير خوند پکی ههه,Very interesting,Positive,Positive
335,,,موږ ازبکستاني اوړه  له هندي وريجو سره  په ايراني ګاز او چينايي داش سره په پاکستاني ديګ کې پخوو او بيا يې په فرانسوي کاسه کې په ترکي قالينو باندي د ترکمنستان د برق رڼا ته وخورو او په عربي دعا ووايو او بيا نو په جرمني تليفون کې د امريکايي مارک زوکربرګ په جوړ کړي اپليکيشن فيسبوک کې وليکو #وطنه_مور_يې_زموږ #دازادي_101مه_کليزه_مو_مبارک  افسوس په موږ😭😭,We cook Uzbek flour with Indian rice in a Pakistani pot with Iranian gas and Chinese dash and then eat it in a French bowl on a Turkish carpet with Turkmen electric light and pray in Arabic and then on the German phone. American Mark Zuckerberg has created an app on Facebook to write #home_mother_our_our #freedom_101st_enniversary.Alas for us,Positive,Positive
336,,,الله دی تات هدایت وکری ده اسلامی جامی بیعیزتی کی الله دی تاته هدایت وکری او که ده هدایت وره نه یی الله تبا کری,May Allah guide you in Islamic dress and may Allah guide you and if you do not guide him may Allah destroy you,Negative,Negative
337,,,نسواری ملګری ډیر ده کوم یو به منشن کړو 🤪🤪Khan Mohammed مشره راغلی په کی 😜😜,There are a lot of Naswari friends who will mention منKhan Mohammed is the leader in it,Positive,Positive
338,,,ای لب یو به دی ورته ویل کنه😂😜,"why don't tell her "" I love You""",Positive,Positive
339,,,دا سپین پرتوګ سره لکه لیونی دسې ښکارې 😬🤣🙏,You look like a mad man in this whit shalwar,Negative,Negative
340,,,مسعود وروره تل ژوندې اوسي,May you live long,Positive,Positive
341,,,والکه تانه خو اخره کښې زمرې جوړ شو  واقغاً نسوار سړې په هوا کیی,"at the end , you became a lion, sure the Naswar fly the man in air",Positive,Positive
342,,,داجــــامو کی خو ســـم بدرنګ ښـــکاری   .....مغصوده ههههههه,You look very bad in this dress,Negative,Negative
343,,,ولا دیر شه  کلیپونه جور اوه   خو ده خارجی خزه درته کتل و خندل,"You are making good vedeo clips, The foreign girl looked and smile to you",Positive,Positive
